engelsk,CEFR,gender,ord,wordAudio,uttale,etymologi,definisjon,sentenceAudio,eksempel,sentenceTranslation,sentenceToDelete
lead,B1,verb,lede,X,[le:`də],Old Norse: leiða,føre med seg eller etter seg i hånden eller i et bånd; gi en viss retning,X,Hun ledet teamet gjennom prosjektet med suksess.,She successfully led the team through the project.,
"lead, lead the way",B1,expression,lede an,X,,,gå først,X,Han tok initiativ og ledet an i prosjektgruppen.,He took the initiative and led the project group.,
leadership,B2,en,ledelse,X,[le:`d(ə)lsə],Old Norse,det å lede; forsprang; gruppe av personer som leder noe,X,Ledelsen i selskapet tar alle de viktige avgjørelsene.,The management of the company makes all the important decisions.,
guide light,B2,et,ledelys,X,,Old Norse,nødlys som gir lys til rømningsveien,X,Vi følger ledelyset for å finne veien ut av skogen.,We follow the guiding light to find our way out of the forest.,
leader,B1,en,leder,X,,,"person som leder noe; styrer, fører; avisartikkel som står på fast plass, og som uttrykker avisens redaksjonelle syn; stoff eller legeme som leder elektrisitet eller varme; kanal eller lignende som leder noe",X,Bedriften trengte en tydelig og erfaren leder.,The company needed a clear and experienced leader.,
leadership,B2,et,lederskap,X,,,det å lede; ledelse; det å lede en konkurranse,X,England overtok lederskapet.,England took over the leadership.,
"leadership position, management position",B2,ei,lederstilling,X,,,stilling som leder,X,Han fikk sin første lederstilling da han var tretti år gammel.,He got his first management position when he was thirty years old.,
leadership position,B2,et,lederverv,X,,,"verv, stilling som leder",X,Hun takket nei til et lederverv i foreningen.,She declined a leadership position in the association.,
"available, vacant, free",A2,adjective,ledig,X,,Old Norse: liðugr,"myk, smidig; som ikke har arbeid; ubundet av plikter eller lignende; ikke opptatt, ikke i bruk",X,Maskinen har ledig kapasitet.,The machine has available capacity.,
idleness,B2,en,lediggang,X,,Old Norse,"det å gå ledig, det å være uten arbeid",X,Lediggang er roten til alt ondt.,Idleness is the root of all evil.,
"vacancy, unemployment",B2,ei,ledighet,X,,Old Norse,det å være ledig; smidighet; det å være uten arbeid,X,Ledigheten har økt kraftig de siste årene.,Unemployment has risen sharply in recent years.,
"cord, cable",A2,ei,ledning,X,,Old Norse,"metalltråd, rør, kabel eller lignende til å lede væske, elektrisk strøm eller gass",X,Elektrikeren trakk en ny ledning til stikkontakten.,The electrician pulled a new wire to the socket.,
wiring,B2,et,ledningsnett,X,,,system av ledninger,X,Elektrikeren installerte et nytt ledningsnett i huset.,The electrician installed a new wiring system in the house.,
accompany,B2,verb,ledsage,X,[le:`dsagə],Old Norse,følge; opptre sammen med,X,Ordføreren ledsaget gjestene omkring i byen.,The mayor accompanied the guests around the city.,
move,B2,verb,lee,X,[le:`ə],Old Norse: hliða,"røre på, bevege (særlig lem eller ledd)",X,Kan du lee på ørene?,Can you move your ears?,
move,B2,expression,lee seg,X,,Old Norse,røre seg,X,Hun leer seg ikke.,She's not moving.,
"flirt, pander",C,verb,lefle,X,,German,"til en viss grad godta; smiske, jatte med; kokettere; drive erotisk lek",X,Han liker å lefle med farlige ideer.,He likes to play with dangerous ideas.,
"lefse, pancake",B1,ei,lefse,X,,Old Norse: hleifr,"fint, mykt, ugjæret bakverk, ofte brukt med smør og sukker på; fillete bok eller hefte",X,Vi bakte lefse til julemiddagen.,We baked lefse for Christmas dinner.,
ragged,C,adjective,"lefsete, lefset",X,[le`fsətə],Old Norse,"som er slitt; fillete, medtatt",X,Brødet var litt lefsete etter å ha ligget ute i regnet.,The bread was a bit soggy after being left out in the rain.,
legal,B1,adjective,legal,X,,Latin: lex,"i samsvar med loven; lovlig, legitim",X,Det er en legal prosess.,It's a legal process.,
"legalize, legalise",B2,verb,legalisere,X,,Latin via French,gjøre lovlig eller rettsgyldig,X,Flere land vurderer å legalisere stoffet.,Several countries are considering legalizing the drug.,
"doctor, physician",A1,en,lege,X,[le:`gə],Old Norse,person med medisinsk embetseksamen som har fått offentlig løyve til å behandle sykdommer,X,Jeg skal til legen for en årlig kontroll.,I'm going to the doctor for an annual check-up.,
"heal, cure",B2,verb,lege,X,[le:`gə],Old Norse,"gjøre frisk, helbrede",X,Legen forsøkte å lege såret med en gang.,The doctor tried to heal the wound right away.,
doctor's note,B2,en,legeattest,X,,,attest fra en lege om en persons helsetilstand,X,Hun trengte en legeattest for å delta i konkurransen.,She needed a medical certificate to participate in the competition.,
doctor's note,B2,ei,legeerklæring,X,,,legeattest,X,Legeerklæringen bekreftet skaden hennes.,The medical report confirmed her injury.,
"medicine, practice of medicine",B2,en,legekunst,X,,,kunsten å lege; legevitenskap,X,Han er fascinert av legekunsten.,He's fascinated by the art of medicine.,
body,B2,et,legeme,X,[le:`gəmə],Old Norse: líkami,"menneske- eller dyrekropp, organisme; gjenstand; formen eller strukturen til en gjenstand",X,Legemet ble funnet ved elven etter flommen.,The body was found by the river after the flood.,
medicine,B2,et,legemiddel,X,,Old Norse,"helbredende middel, medisin",X,Legemiddelet må tas daglig for å virke effektivt.,The drug must be taken daily to be effective.,
"bodily, material",B2,adjective,legemlig,X,[le:`g(ə)mli],Old Norse,"kroppslig, materiell",X,"Skaden hans var ikke bare psykisk, men også legemlig.","His injury was not only mental, but also physical.",
"embody, incarnate",C,verb,legemliggjøre,X,,Old Norse,"gi (noe abstrakt, immaterielt) konkret form",X,De gamle historiene om guder kan legemliggjøre følelser.,The ancient stories of gods can embody emotions.,
bodily harm,C,en,legemsbeskadigelse,X,,Old Norse,det å skade en persons legeme eller helse,X,Vold som fører til legemsbeskadigelse er straffbart.,Violence leading to bodily harm is a criminal offense.,
body part,B2,en,legemsdel,X,,,kroppsdel,X,Skulderen er en viktig legemsdel for bevegelighet i armen.,The shoulder is an important part of the body for arm mobility.,
assault,C,en,legemsfornærmelse,X,,Old Norse,ærekrenkende eller smertefullt angrep på en persons legeme,X,Legemsfornærmelse inkluderer verbal trakassering.,Physical assault includes verbal harassment.,
legendary,B2,adjective,legendarisk,X,,Latin,karakteristisk for legenden,X,Skuespilleren ble kjent som en legendarisk helt.,The actress became known as a legendary hero.,
legend,B2,en,legende,X,[lege`ndə],Latin,"oppbyggelig fortelling om en helgens liv; fortelling med religiøst-mytisk innhold; fantastisk, utrolig sagn eller historie; myte",X,Hun er en levende legende.,She is a living legend.,
"alloy, mix metals",C,verb,legere,X,[lege:´rə],Latin,smelte sammen to eller flere grunnstoffer der minst ett er metall,X,Metallet ble legert med aluminium for å øke styrken.,The metal was alloyed with aluminum to increase its strength.,
alloy,C,ei,legering,X,,Latin,blanding av to eller flere (sammensmeltede) metaller,X,Messing er en legering av kopper og sink.,Brass is an alloy of copper and zinc.,
medical student,B2,en,legestudent,X,,,medisinstudent,X,Han er en hardtarbeidende legestudent.,He's a hard-working medical student.,
emergency care,B1,ei,legevakt,X,,Old Norse,poliklinikk som er åpen hele døgnet for behandling av skader og akutte sykdommer,X,Han måtte ringe til legevakten.,He had to call the emergency room.,
doctor's round,B2,en,legevisitt,X,,,"fast besøk av lege(r) og sykepleier(e), særlig på sykehusavdeling",X,Legevisitten startet klokken ni.,The doctor’s round started at nine o’clock.,
medicine,C,en,legevitenskap,X,,,"lære om hvordan sykdommer forebygges, oppstår og helbredes",X,"Seksti år etter at DNA-molekylets struktur ble oppdaget, er genene våre i ferd med å revolusjonere legevitenskapen.","Sixty years after the structure of the DNA molecule was discovered, our genes are about to revolutionize medicine.",
ID,B2,en,legg,X,,Latin,kortord for legitimasjon,X,Han ble bedt om å vise legg.,He was asked to show ID.,
"calf, shin",A2,en,legg,X,,Old Norse: leggr,parti mellom kne og ankel på menneske,X,Han fikk en skade på leggen etter fotballkampen.,He suffered a calf injury after the football match.,
"pleat, fold, crease",B2,et,legg,X,,Old Norse,"nedpresset brett eller fold, særlig som pynt på tøy; samling av ark som det er skrevet noe på",X,Skjørtet har et vakkert legg på siden.,The skirt has a beautiful pleat on the side.,
"lay, put",A2,verb,legge,X,,Old Norse: leggja,"få til å ligge, plassere i vannrett stilling; stykke på klesplagg eller lignende som svarer til legg; trestamme mellom rot og grener",X,Du kan legge boken på bordet når du er ferdig.,You can put the book on the table when you're done.,
hit on,B2,expression,legge an på noen,X,,Old Norse,streve for å få noen til kjæreste,X,Han begynte å legge an på kollegaen sin.,He started hitting on his coworker.,
put behind oneself,B2,expression,legge bak seg,X,,Old Norse,"forlate, passere; gjøre seg ferdig med",X,Hun prøver å legge problemene bak seg.,She's trying to put her problems behind her.,
restrain,B2,expression,legge bånd på,X,,,"kontrollere, begrense",X,Myndighetene forsøkte å legge bånd på prisveksten.,The authorities tried to curb price growth.,
restrain oneself,B2,expression,legge bånd på seg,X,,,"tøyle seg, beherske seg",X,Han måtte legge bånd på seg for ikke å rope tilbake.,He had to restrain himself from shouting back.,
"put burdens on, burden",B2,expression,legge byrder på,X,,Old Norse,"tynge, utsette for påkjenning",X,Lederen ville ikke legge byrder på de ansatte.,The manager did not want to burden the employees.,
stifle,C,expression,legge en klam hånd over,X,,,hindre eller hemme,X,De la en klam hånd over saken og stoppet videre behandling.,They put a clamp on the matter and stopped any further processing.,
leave something behind,B2,expression,legge etter seg noe,X,,Old Norse,etterlate seg noe,X,Han har lagt etter seg et testament.,He has left behind a will.,
"leave, forget",A2,expression,legge fra seg,X,,Old Norse,sette bort; plassere; bli ferdig med; glemme,X,Han la fra seg telefonen og begynte å lese.,He put down his phone and started reading.,
"put forth, present",B1,expression,"legge frem, legge fram",X,,Old Norse,presentere,X,Regjeringen la frem et forslag.,The government presented a proposal.,
make an effort,B2,expression,legge godviljen til,X,,,vise en positiv holdning; legge til side motforestillinger,X,"Hvis du bare legger godviljen til, kan vi sikkert finne en løsning.","If you just add goodwill, I'm sure we can find a solution.",
lay a hand on,C,expression,legge hånd på,X,,,øve fysisk vold mot,X,Han la hånd på motstanderen under krangelen.,He laid hands on his opponent during the argument.,
"put in, interpret",B1,expression,legge i,X,,Old Norse,"oppfatte, forstå",X,Hun la mye energi i prosjektet.,She put a lot of energy into the project.,
bind,C,expression,legge i bånd,X,,,"binde, legge i tvangstrøye",X,Vaktene måtte legge den voldelige mannen i bånd.,The guards had to restrain the violent man.,
bury,C,expression,legge i haug,X,,,gravlegge; hauglegge,X,De la den døde i haug ved elvekanten.,They laid the dead man in a mound by the riverbank.,
"put in, install",B1,expression,legge inn,X,,Old Norse,sette inn; installere; plassere i eller innenfor noe; gi beskjed om; melde,X,Vi la inn resultatene i databasen.,We entered the results into the database.,
put in a good word for,B2,expression,legge inn et godt ord for,X,,Old Norse,stå inne for; gå god for,X,Jeg skal legge inn et godt ord for deg hos sjefen.,I'll put in a good word for you with the boss.,
suppress,B2,expression,legge lokk på,X,,,hindre i å komme frem; holde skjult,X,Ledelsen prøvde å legge lokk på konflikten.,Management tried to suppress the conflict.,
notice,A2,expression,legge merke til,X,,Old Norse,bli oppmerksom på; observere,X,Dette har han ikke lagt merke til før.,He hasn't noticed this before.,
"have something at one's feet, have someone at one's feet",C,expression,"legge noe for sine føtter, legge noen for sine føtter",X,,,erobre noe eller noen,X,Koret legger alle for sine føtter.,The choir lays everyone at their feet.,
shelve,B2,expression,legge noe på hylla,X,,,slutte med noe,X,Hun la fotballkarrieren på hylla etter skaden.,She shelved her football career after the injury.,
put words in someone’s mouth,C,expression,legge ordene i munnen på noen,X,,,påvirke noen til å svare slik en ønsker,X,Journalisten la ordene i munnen på vitnet ved å stille ledende spørsmål.,The journalist put words in the witness’s mouth by asking leading questions.,
increase,B1,expression,legge på,X,,,gjøre større; øke,X,De måtte legge på prisene på varene sine.,They had to increase the prices of their products.,
go to bed,A2,expression,legge seg,X,,Old Norse,"innta en liggende stilling; gå til sengs; bli liggende; stilne, spakne",X,Jeg pleier å legge meg tidlig for å få nok søvn.,I usually go to bed early to get enough sleep.,
"take the fall, fall on one's sword",B2,expression,legge seg flat,X,,Old Norse,innrømme feil en har gjort,X,Han valgte å legge seg flat etter feilen.,He chose to take the fall after the mistake.,
take the blame,B2,expression,legge seg langflat,X,,,ta på seg skylden for noe,X,Hun la seg langflat og tok skylda for hele feilen.,She completely owned up and took the blame for the whole mistake.,
memorize,C,expression,legge seg noe på sinne,X,,,"innprente seg, huske på",X,Læreren ba elevene legge seg ordene på sinne før prøven.,The teacher asked the students to memorize the words before the test.,
fall in love with,B2,expression,legge sin elsk på,X,,Old Norse,bli glad i eller interessert i,X,Engelske kritikere la sin elsk på den norske forfatteren.,English critics fell in love with the Norwegian author.,
