engelsk,CEFR,gender,ord,uttale,etymologi,definisjon,eksempel
Nigerian,B2,adjective,nigeriansk,[nigeria:´nsk],Berber,"som gjelder Nigeria og nigerianere",Hun lagde en nigeriansk rett til middag.
nigiri,B2,en,nigiri,[nigi:´ri],Japanese,nigirisushi,Jeg elsker nigiri når jeg spiser sushi.
nigiri sushi,B2,en,nigirisushi,,Japanese,japansk rett som består av et lite stykke sammenpresset ris med fisk eller skalldyr oppå,Nigirisushi er en av mine favoritter.
nod,A2,verb,nikke,,German,"gjøre en kort og rask bøyning med hodet, særlig som tegn på samtykke, oppmuntring eller som hilsen; spille ballen med hodet; heade; skalle",Hun nikket bekreftende.
puppet,B2,ei,"nikkedukke, nikkedokke",,German,"viljeløs, uselvstendig person; mehe, dott",Han samlet på nikkedukker som barn.
nickel,B2,en-et,nikkel,,,"hardt, sølvhvitt metallisk grunnstoff med atomnummer 28",Denne mynten er laget av nikkel.
zero,B1,adjective,niks,,German,ikke noen,Vi fikk niks glede av den turen.
knick-knack,B1,en,nips,[nips],French,"små pyntegjenstander i steintøy, glass eller lignende",Bestemor hadde mange små nipsfigurer i stuen.
nirvana,B2,et,nirvana,[nirva:´na],Sanskrit,salighetstilstand når sjelevandringen er avsluttet og individet er smeltet sammen med guddommen; tilstand av fullkommen ro og hvile,Målet i yoga er å oppnå nirvana.
niche,B2,en,nisje,[ni`ʃ:ə],French,fordypning i en vegg eller en mur; plass eller stilling som en art har i økosystemet; del av marked med spesielle behov; avgrenset kundegruppe,Bedriften har funnet en nisje for det nye produktet.
packed lunch,B1,ei,niste,,Old Norse: nesti,"mat tatt med til å spise på en tur, på arbeidet eller lignende",Jeg tok med meg en niste på turen.
"stingy, greedy",C,adjective,niten,,Old Norse: gniða,"gjerrig, gnieraktig",
rivet,C,verb,nitte,,German,"bøye spissen (av en spiker eller lignende), neie; gjøre butt, runde av; klinke",Han måtte nitte metallet fast.
nineteen,A2,adjective,nitten,,Old Norse: nítján,"grunntallet 19",Jeg ble født i nitten åttiseks.
nineteen-bow-and-arrow,B2,expression,nitten pil og bue,,Old Norse,en eller annen gang på nittenhundretallet; en gang for lenge siden,Uttrykket nitten pil og bue betyr noe gammeldags.
nineteenth,A2,adjective,nittende,,Old Norse: nítjándi,som er nummer 19 i en rekkefølge; ordenstall til 19,Hun ble født den nittende mai.
ninety,A1,numeral,nitti,,Old Norse: níu tigir,grunntallet 90,Foreningen er nitti år i år. Totalt har selskapet rundt nitti ansatte.
level,B1,et,nivå ,[nivå:´],French: niveau,"grad, trinn, standpunkt",Prestasjonene lå gjennomgående på et høyt nivå.
euphemism,C,et,noaord,[no:´a-or],Polynesian: noa,erstatningsord som brukes når det anses for farlig eller skadelig å nevne det rette ordet,Gråbein er noaord for ulv.
"need, distress",B1,ei,nød,[nø:d],"Old Norse: nauðr, nauð","vanskelig situasjon, trengsel, ulykke, fare","De er i nød ute på havet!"
emergency unit,C,et,nødaggregat,,,aggregat (ved sykehus eller fabrikk) som brukes når ordinær kraftforsyning svikter,Vi trenger et nødaggregat i tilfelle strømbrudd.
emergency light,B2,et,nødlys,,Old Norse,"lys med alternativ strømkilde, for eksempel nødaggregat, som brukes ved svikt i normal belysning",Nødlysene ble slått på under evakueringen.
emergency,B2,et,nødsfall ,,Old Norse,"tvingende omstendighet, forhold",Han døde i et tragisk nødsfall.
emergency,B2,en,nødssituasjon,,Old Norse,"vanskelig situasjon, tvingende omstendighet, trengsmål",Vi må forberede oss på enhver nødssituasjon.
emergency,B2,et,nødstilfelle,,Old Norse,nødssituasjon,Ambulansen kom raskt til nødstilfellet.
forced by necessity,B2,adjective,nødtvungen ,,Old Norse,"tvungen, drevet av nødvendighet",Nødtvungen måtte han gi opp studiene.
emergency exit,A2,en,nødutgang ,,Old Norse,utgang som kan nyttes i nødstilfelle,Nødutgangen var godt merket.
necessary,B1,adjective,nødvendig ,,Old Norse,"som trengs, som må gjøres, påkrevd, uunnværlig",Det er nødvendig å fullføre dette prosjektet innen fristen.
necessarily,B2,adverb,nødvendigvis,,Old Norse,med nødvendighet,En trenger ikke nødvendigvis å lese alt like godt.
something,A1,numeral,noe,,Old Norse: nǫkkurr,"en eller annen, et eller annet; en bestemt; visse, enkelte; hvilken som helst (annen); hvilket som helst (annet); enhver, ethvert; alle; en del, litt; atskillig",Jeg har noe å si om denne saken.
something of a,B2,expression,noe av en,,Old Norse,langt på vei en; en nokså stor,Han er noe av en ekspert på det området.
something out of the ordinary,B2,expression,noe utenom det vanlige,,Old Norse,noe sjeldent,Denne forestillingen er noe utenom det vanlige.
"some, someone, somebody",A1,numeral,noen,"[no:`(ə)n], [no:`en]",Old Norse: nǫkkurr,"en eller annen, et eller annet; en bestemt; visse, enkelte; hvilken som helst (annen); hvilket som helst (annet); enhver, ethvert; alle; en del, litt; atskillig",Det er noen som spør etter deg.
somewhat,B2,adverb,noenlunde ,,Old Norse,"forholdsvis, til en viss grad",Han er noenlunde fornøyd med resultatet.
ever,B2,adverb,noensinne,,Old Norse,noen gang,Det er det verste jeg noensinne har opplevd.
"enough, probably",A2,adverb,nok,[nåk:],German,tilstrekkelig,Bare det beste er godt nok.
key,A1,en,nøkkel,,Old Norse: lykill,"redskap til å åpne eller lukke et lås med",Nøkkelen står i døra. Jeg mistet nøkkelen til huset.
wrench,B1,en,nøkkel,,Old Norse,"redskap til å dreie, trekke opp eller justere noe med",
lanyard,B1,et,"nøkkelbånd, nøklebånd",,,bånd til å ha nøkkel eller nøkler i; bunt av nøkler i bånd,
child with working parents,B2,et,nøkkelbarn,,Old Norse,"barn med foreldre som er borte på arbeid om dagen (og derfor går med nøkkelen til hjemmet på seg)",
key card,B1,et,nøkkelkort,,Old Norse,"magnetkort til å åpne dørlåser med",Han brukte et nøkkelkort for å låse opp døren.
keyword,B2,et,nøkkelord,,Old Norse,"stikkord, ord som gir en nøkkel til noe",Nøkkelordene i økologien er biotop og næringskjede.
key ring,B2,en,nøkkelring,,Old Norse,"ring til å ha nøkler på",Jeg har en nøkkelring med mange nøkler.
key role,B2,ei,nøkkelrolle,,Old Norse,"viktig, avgjørende rolle",Hun spilte en nøkkelrolle i prosjektet.
"rather, quite",B1,adverb,nokså,[nå´kså],German,"ganske, temmelig",Det var nokså mange på møtet.
sober,B2,adjective,nøktern,,German,"rolig, sindig; objektiv, saklig; fornuftig, realistisk; enkel; edru, edruelig",Hun er nøktern og praktisk.
sobriety,B2,ei,nøkternhet,,,det å være nøktern; edruelighet; måtehold,
hesitate,B1,verb,nøle,,German: nölen,"betenke seg, somle, stå ubesluttsom, vakle",Han nølte med å svare på spørsmålet.
"nonchalant, cavalier",B2,adjective,"nonchalant, nonsjalant","[nåŋʃala´ŋ:], [nåŋʃala´ŋt]",French: nonchalant,"likeglad, skjødesløs",Hun ga et nonchalant svar på kritikken.
nun,B1,ei,nonne,[nå`n:ə],Old Norse: nunna,kvinne som er tatt opp i en klosterorden,Nonnen levde et stille og fredelig liv i klosteret.
non-profit,B2,adjective,nonprofit,[nå´npråfit],English: non-profit,som ikke skal gi økonomisk fortjeneste,Organisasjonen er nonprofit og jobber for veldedige formål.
nonsense,B1,et,nonsens,[nå´ns(ə)ns],English: nonsense,"tøv, vrøvl, vås",Foredraget var det reneste nonsens.
non-stop,B1,adverb,"nonstop, non stop",[nå´nståp],English: non-stop,"uten stans, fortløpende, uavbrutt",Orkesteret spilte non stop hele kvelden.
north,A2,et,nord,,Old Norse: norðr,"himmelretning som ligger motsatt retningen mot sola midt på dagen",Vi reiste mot nord for å se midnattssolen.
Northern Lights,B1,et,nordlys ,,Old Norse,polarlys på natthimmelen i nordlige strøk,Nordlyset danset over himmelen i kveld.
Norwegian person,A1,en,nordmann ,,Old Norse,person fra Norge,Nordmannen elsket ski og vintersport.
Norway,A1,et,Norge,,Old Norse,et monarki i Europa som utgjør den vestlige og nordlige delen av Den Skandinaviske halvøya,Norge er kjent for sine fjorder og fjell.
Norwegian champion,B2,en,norgesmester ,,Old Norse,"vinner av et norgesmesterskap",Han ble norgesmester i svømming.
nori,B2,en,nori,[no:´ri],Japanese,"flak av tørket tang som særlig brukes til å lage maki",Nori er rik på vitaminer og motvirker høyt kolesterol.
norm,B1,en,norm,,Latin,"anerkjent regel, rettesnor, mønster, målestokk",Normen for god oppførsel er viktig i dette samfunnet.
normal,A2,adjective,normal,,Latin,"regelrett, gjengs, vanlig, gjennomsnittlig; som har fulle åndsevner, tilregnelig",Det er normalt å føle seg nervøs før en eksamen.
normalize,B2,verb,normalisere,,Latin,"gjøre normal, bringe i samsvar med en norm",Rettskrivningen i manuskriptet må normaliseres.
normality,B2,en,normalitet,,Latin,"det å være normal, normal tilstand",Det går ingen skarp grense mellom normalitet og sinnssykdom.
Norman,C,en,normanner,,,"nordisk viking som herjet i Vest-Europa, særlig i Frankrike; etterkommer etter nordiske vikinger i Normandie",Normannere invaderte England i 1066.
Norman,C,adjective,normannisk,,,som gjelder Normandie og normannere,Hun studerte normannisk arkitektur.
normative,B2,adjective,normativ,,Latin,som tjener som rettesnor; til forskjell fra deskriptiv,De fulgte en normativ tilnærming til problemet.
normalize,B2,verb,normere,,Latin,"fastsette, gjelde som norm",En ren beskrivelse kan virke normerende.
normless,B2,adjective,normløs,,Latin,"uten (moralske) normer",Situasjonen var helt normløs og uforutsigbar.
Norse,B2,adjective,norrøn ,[no`r:øn],Old Norse: norðrǿnn,"som hører til eller gjelder den gamle vestnordiske kulturen i Norge, på Island og i de norske utbygdene i vest i middelalderen",Norrøn mytologi er fascinerende.
Old Norse,B2,et,norrønt,,Old Norse,nordgermansk språk hovedsakelig brukt i Norden og på Island og Færøyene i vikingtiden og deler av middelalderen (cirka 800–1350),
Norwegian,A1,adjective,norsk,[nåʃk],Old Norse: norðrǿnn,"som gjelder, skriver seg fra, er karakteristisk for Norge og nordmenn",Hun underviser i norsk grammatikk.
Norwegian,A1,en-et,norsk,[nåʃk],Old Norse: norðrǿnn,språk i den vestnordiske språkgruppa hovedsakelig brukt i Norge,Jeg lærer norsk språk og kultur.
Norwegianize,C,verb,norvagisere ,[nårvagise:´rə],,bruke norvagismer; gi (utenlandske ord) norsk skrivemåte,Han forsøkte å norvagisere teksten for et norsk publikum.
Norwegianism,C,en,norvagisme,[nårvagi´smə],,norsk målmerke i et annet språk; norskhet,"Det norske språket er full av svesismer, mens svensk er blottet for norvagismer."
nostalgia,B2,en,nostalgi,[nåstalgi:´],Greek via Latin,sentimental lengsel tilbake til en tidligere del av ens liv eller til tidligere tider,Han følte en sterk nostalgi da han så gamle bilder.
nostalgic,B2,adjective,nostalgisk,,Greek via Latin,"som har, er utslag av nostalgi",Hun hadde en nostalgisk følelse da hun besøkte barndomshjemmet.
especially,C,adverb,notabene,[notabe:`nə],Latin,"vel å merke, legg godt merke til, forkorting NB","Du greier nok eksamenen, notabene hvis du forbereder deg."
"warning, note",B2,et,notabene,[notabe:`nə],Latin,"tegnet NB, kritisk anmerkning",Han satte en del notabener i margen.
note,A2,et,notat,[nota:´t],Latin,"opptegning, anmerkning; beretning, redegjørelse",Han skrev et notat til kollegaene sine.
note,A2,verb,notere,[note:´rə],Latin,"opptegne, skrive ned",Studentene noterte under forelesningen.
"article, notice",B2,en,notis,[noti:´s],Latin via French,"kort opptegnelse, kort melding",Det sto en notis om ulykken i avisen.
nut,B1,ei,nøtt,,Old Norse: hnot,frukt med hardt skall rundt en spiselig kjerne,Jeg spiste en nøtt som snacks.
"exact, precise",B1,adjective,nøyaktig ,,,"helt korrekt, presis",Hun var alltid nøyaktig med detaljene i arbeidet sitt.
accuracy,B2,ei,nøyaktighet ,,,det å være nøyaktig; påpasselighet; grundighet,Oppgaven krever stor nøyaktighet for å lykkes.
"settle for, be happy with",B2,verb,nøye ,,,"ta til takke, slå seg til tåls, nøyes",De måtte nøye undersøke saken før de tok en avgjørelse.
"close, exact, careful",B1,adjective,nøye ,,,"nær, intim",Språk og tanke står i nøye forhold til hverandre.
"neutral, neuter",B1,adjective,nøytral,,,"som ikke tar parti, upartisk",De forsøkte å være nøytrale i diskusjonen.
neuter,B2,et,nøytrum,,Latin,intetkjønn; intetkjønnsord,Ordet ‘barn’ er nøytrum.
nudism,B2,en,nudisme,,Latin,"bevegelse som søker å skape bedre helse og kroppskultur og sunnere kjønnsmoral ved felles nakenhet når det er naturlig; nakenkultur, naturisme",Nudisme er akseptert på noen strender.
nudist,B2,en,nudist,,Latin,tilhenger av nudisme,Han er en nudist og trives best uten klær.
nobody,B1,et,null,,Latin via German,ubetydelig person; ubetydelighet,"Resultatet var null, og ingenting ble oppnådd."
zero,A1,en-et,null,[nul:],Latin via German,talltegnet 0; nullpunkt på en inndeling eller på en skala; frysepunkt,Vann fryser ved null grader.
nothing,B2,expression,null og niks,,Latin via German,ingen ting,Det var null og niks å bekymre seg for.
zero derivative,C,ei,nullavledning,,Latin via German,verbalsubstantiv som er identisk med stammen i det tilsvarende verbet,Nullavledning er en interessant grammatisk prosess.
cross off,B2,verb,nulle,,Latin via German,"stryke av en liste, se bort fra",De måtte nulle ut beregningene og starte på nytt.
zero out,B2,expression,nulle ut,,Latin via German,stille på null,Han klarte å nulle ut effekten av motstanderens trekk.
ice-melt ski conditions,B2,et,nullføre,,Latin via German,skiføre når temperaturen er omkring null grader,"Veiene var dekket av nullføre, noe som gjorde dem glatte."
"nullity, nothingness",C,en,nullitet,,Latin via German,"ubetydelighet, ubetydelig person; ugyldig rettshandel","Det var en fullstendig nullitet, uten noen betydning."
"zero, point of zero",B2,et,nullpunkt,,Latin via German,"fast utgangspunkt på en målestokk, på en skala",Han nådde nullpunktet i beregningene.
reset,B2,verb,nullstille ,,Latin via German,"stille stoppeklokke, telleverk eller lignende på null",De måtte nullstille systemet etter en krasj.
zero tolerance,B2,en,nulltoleranse ,,Latin via German,"ingen toleranse, især vist ved resolutt og konsekvent inngripen mot (selv mindre) overtredelser eller forgåelser",Skolen har nulltoleranse for mobbing.
numerical,B2,adjective,numerisk,,Latin,"tallmessig, som gjelder tall",Han utførte en numerisk analyse av dataene.
number,A1,et,nummer,[no´m:ər],Latin: numerus,noe som har den eller den plassen i en rekke; (tall som viser) plass i en rekke,Han er bare et nummer i rekken.
sniff,B1,et,nuss,,,"lite barn, nor",Hun ga ham et lite nuss på kinnet.
sniff,B1,verb,nusse,,,"snuse, lukte (til); kysse; småpusle, dulle",Barnet likte å nusse med kosebamsen.
new,A1,adjective,ny,[ny:],Old Norse: nýr,som er laget eller kommet til for kort tid siden,Bilen er flunkende ny.
nuance,B2,en,nyanse,[nya´ŋsə],French,"fin fargeavskygning, sjattering, liten forskjell, fin overgang",Himmelen var full av nyanser av rosa og lilla.
nuance,B2,verb,nyansere ,,French,"bruke fine overganger, sjattere, endre ganske svakt, variere",Hun forsøkte å nyansere diskusjonen med flere synspunkter.
newly baked,B1,adjective,nybakt,,Old Norse,som nettopp er bakt; som nettopp er kommet i en stilling eller verdighet,Hjemme hos de nybakte foreldrene sto barnerommet klart.
beginner,A2,en,nybegynner,,,person som skal begynne eller nettopp har begynt med noe,"Hun er en nybegynner i norsk, men lærer raskt."
new ground,B2,et,nybrott,,Old Norse,det å dyrke et jordstykke for første gang; nydyrking; det å utføre undersøkelser eller arbeid som gir nye resultater; pionerarbeid; jord som blir dyrket for første gang; jord som nylig er oppdyrket,
